"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"13","관광펜션업","03_11_02_P","5020000","CDFI3261092024000003","2024-03-25","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 청하면 용두리 45-4","경상북도 포항시 북구 청하면 화두길 160","37517","더원유포리아풀빌라","2024-03-25 17:41:00","I","2024-03-27 00:15:31","","","","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"14","관광펜션업","03_11_02_P","5020000","CDFI3261092024000005","2024-05-16","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 구룡포읍 하정리 1-1","경상북도 포항시 남구 구룡포읍 하정로138번길 42","37938","이스케이프A","2024-05-16 18:58:12","I","2024-05-18 00:14:36","","430079.884100528","278143.281800148","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"15","관광펜션업","03_11_02_P","5020000","CDFI3261092024000006","2024-05-20","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 구룡포읍 하정리 1-18","경상북도 포항시 남구 구룡포읍 하정로138번길 38, 이스케이프C","37938","이스케이프C","2024-05-20 09:38:28","I","2024-05-22 00:14:43","","430100.495697935","278093.314717126","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","관광펜션업","03_11_02_P","5020000","CDFI3261092024000007","2024-05-20","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 구룡포읍 하정리 1-48","경상북도 포항시 남구 구룡포읍 하정로138번길 40","37938","이스케이프B","2024-05-20 09:39:11","I","2024-05-22 00:14:43","","430086.499873112","278122.64187408","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"17","관광펜션업","03_11_02_P","5020000","CDFI3261092024000004","2024-04-29","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 송라면 화진리 128-5","경상북도 포항시 북구 송라면 봉화길245번길 33-23","37512","포레스트오션","2024-04-29 13:41:12","I","2024-05-01 00:15:26","","414085.354651294","307017.930609741","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"18","관광펜션업","03_11_02_P","5020000","CDFI3261092011000001","2011-07-08","","01","영업/정상","13","영업중","","","","","","","790-811","경상북도 포항시 남구 호미곶면 강사리 194번지","경상북도 포항시 남구 호미곶면 일출로568번길 19-16","","라메르펜션리조트","2011-07-08 08:38:02","I","2018-08-31 23:59:59","","432465.690588328","285036.32903726","관광펜션업","","주거지역","2","주택가주변","","","숙박시설","2","","","","","","","","","","","","","226.48","","","","","","","","","","","","","226",
"19","관광펜션업","03_11_02_P","5020000","CDFI3261092012000002","2012-08-06","","01","영업/정상","13","영업중","","","","","261-1600","","791-921","경상북도 포항시 북구 청하면 청진리 65-1번지","경상북도 포항시 북구 청하면 해안로2000번길 3","37518","씨 캐슬","2014-01-09 16:26:29","I","2018-08-31 23:59:59","","415015.147965418","300332.285341759","관광펜션업","","","2","","","","단독주택","2","","","","","","","","","","","","","","","","","","","","","","","","","","",
"20","관광펜션업","03_11_02_P","5020000","CDFI3261092015000001","2015-12-04","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 호미곶면 강사리","경상북도 포항시 남구 호미곶면 관암일출길 29","37929","다모디","2015-12-04 18:40:57","I","2018-08-31 23:59:59","","432146.812824241","286568.399359471","관광펜션업","","","3","","","","단독주택","3","","","","","","","","","","","","","","","","","","","","","","","","","","",
"21","관광펜션업","03_11_02_P","5020000","CDFI3261092016000001","2016-11-30","","01","영업/정상","13","영업중","","","","","054-249-3000","","","경상북도 포항시 북구 송라면 광천리 491-1번지","경상북도 포항시 북구 송라면 보경로196번길 41-84","37511","송라 아쿠아","2016-11-30 10:41:48","I","2018-08-31 23:59:59","","411122.996128908","306769.680436947","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"22","관광펜션업","03_11_02_P","5020000","CDFI3261092020000003","2020-04-03","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 송라면 방석리 100번지","경상북도 포항시 북구 송라면 해안로 2836, B동","37512","프레젠트 포항 펜션","2020-04-03 10:59:38","I","2020-04-05 00:23:35","","414007.311247805","306334.983198881","관광펜션업","","전용주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"23","관광펜션업","03_11_02_P","5020000","CDFI3261092020000004","2020-04-03","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 송라면 방석리 100번지","경상북도 포항시 북구 송라면 해안로 2836, A동","37512","프레젠트 100 펜션","2020-04-03 11:00:04","I","2020-04-05 00:23:35","","414007.311247805","306334.983198881","관광펜션업","","일반주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"24","관광펜션업","03_11_02_P","5020000","CDFI3261092020000005","2020-04-03","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 송라면 방석리 100번지","경상북도 포항시 북구 송라면 해안로 2836, C동","37512","포항 펜션 프레젠트","2020-04-03 11:00:19","I","2020-04-05 00:23:35","","414007.311247805","306334.983198881","관광펜션업","","일반주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"25","관광펜션업","03_11_02_P","5020000","CDFI3261092020000006","2020-04-03","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 송라면 방석리 100번지","경상북도 포항시 북구 송라면 해안로 2836, D동","37512","포항 풀빌라 프레젠트","2020-04-03 11:00:41","I","2020-04-05 00:23:35","","414007.311247805","306334.983198881","관광펜션업","","전용주거지역","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"26","관광펜션업","03_11_02_P","5020000","CDFI3261092024000001","2024-01-20","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 송라면 화진리 108","경상북도 포항시 북구 송라면 해안로 2932","37512","바다향기","2024-02-02 15:53:44","U","2024-02-04 02:40:00","","413822.5216127","307131.946089574","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"27","관광펜션업","03_11_02_P","5020000","CDFI3261092024000002","2024-01-31","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 청하면 월포리 294-33","경상북도 포항시 북구 청하면 월포로160번길 11","37517","더원(1동)","2024-01-31 11:12:41","I","2024-02-03 00:16:05","","413061.115009009","302828.678415648","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"28","관광펜션업","03_11_02_P","5020000","CDFI3261092020000007","2020-07-20","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 호미곶면 대보리 1-12","경상북도 포항시 남구 호미곶면 해맞이로46번길 66","37928","비다펠리즈","2022-12-23 09:54:18","U","2022-12-25 02:40:00","","431728.057015996","287942.264116937","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"29","관광펜션업","03_11_02_P","5020000","CDFI3261092021000001","2021-09-01","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 호미곶면 구만리 3-3","경상북도 포항시 남구 호미곶면 구만길 222","37928","스타스케이프","2025-03-06 18:07:48","U","2025-03-08 02:40:00","","430235.066860045","290211.469971937","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"30","관광펜션업","03_11_02_P","5020000","CDFI3261092021000002","2021-09-01","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 호미곶면 구만리 3","경상북도 포항시 남구 호미곶면 구만길 224","37928","(주)은호","2021-09-01 16:46:06","I","2021-09-03 00:22:50","","430240.211004663","290183.313599667","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"31","관광펜션업","03_11_02_P","5020000","CDFI3261092023000002","2023-10-17","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 호미곶면 구만리 36-1","경상북도 포항시 남구 호미곶면 해맞이로208번길 61","37928","아이세상","2023-10-17 09:55:31","I","2023-10-19 00:17:36","","430284.523014103","290130.122366992","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"32","관광펜션업","03_11_02_P","5020000","CDFI3261092023000003","2023-11-01","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 청하면 청진리 50","경상북도 포항시 북구 청하면 해안로2000번길 33-9","37518","So U Garden(소유가든)","2023-11-01 18:29:54","I","2023-11-03 00:17:23","","415142.499166893","300447.954180162","관광펜션업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","900000000","","","","0",
"33","관광펜션업","03_11_02_P","5020000","CDFI3261092012000001","2012-07-26","2022-06-03","04","취소/말소/만료/정지/중지","33","지정취소","","","","","","","791-921","경상북도 포항시 북구 청하면 이가리 556-1","경상북도 포항시 북구 청하면 해안로 2092","37518","네이처 풀빌라","2024-05-03 16:09:57","U","2024-05-05 02:40:00","","414383.150122818","300893.624811761","관광펜션업","","관리지역","3","기타","","","근린생활시설","3","0","0","0","","","0","0","","0","0","","0","313.09","","0","","","","","","","0","","","","313",
"34","관광펜션업","03_11_02_P","5050000","CDFI3261092014000006","2014-11-19","","03","폐업","03","폐업","2017-09-08","","","","","","780-430","경상북도 경주시 하동","경상북도 경주시 하동1길 45-7 (하동)","38126","메리골드 펜션","2017-09-08 16:09:44","I","2018-08-31 23:59:59","","408712.264714274","257334.489940356","관광펜션업","","생산녹지지역","2","","","","","2","","","","","","","","","","","","","125.86","","","","","","","","","","","","","126",
"35","관광펜션업","03_11_02_P","5050000","CDFI3261092014000007","2014-11-19","","03","폐업","03","폐업","2017-09-07","","","","","","780-460","경상북도 경주시 시래동","경상북도 경주시 시동로 86-57 (시래동)","38200","아띠 펜션","2017-09-08 09:15:43","I","2018-08-31 23:59:59","","406748.435237288","255098.479660854","관광펜션업","","보전녹지지역","2","","","","단독주택","2","","","","","","","","","","","","","217.44","","","","","","","","","","","","","217",
"36","관광펜션업","03_11_02_P","5050000","CDFI3261092017000001","2017-09-05","","03","폐업","03","폐업","2018-08-02","","","","","","","경상북도 경주시 하동 656-39번지","경상북도 경주시 보불로 126-55 (하동)","38126","비버리 펜션","2018-08-02 17:36:32","I","2018-08-31 23:59:59","","409426.234255223","257513.538255172","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"37","관광펜션업","03_11_02_P","5050000","CDFI3261092017000002","2017-09-05","","03","폐업","03","폐업","2018-08-02","","","","","","","경상북도 경주시 하동 656-9번지","경상북도 경주시 보불로 126-57 (하동)","38126","비버리 힐","2018-08-02 17:36:54","I","2018-08-31 23:59:59","","409411.494187329","257512.464963865","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"38","관광펜션업","03_11_02_P","5050000","CDFI3261092004000001","2004-10-27","","03","폐업","03","폐업","2017-09-07","","","","775-7750","","","경상북도 경주시 감포읍 감포리 549-1번지 2리","경상북도 경주시 감포읍 감포로 93","38125","하얀둥지관광펜션","2017-09-08 09:15:54","I","2018-08-31 23:59:59","","426047.060707921","258737.579626383","관광펜션업","관광사업","일반주거지역","2","","","","다가구용 주택(공동주택적용)","2","","","","","","","","","","","","","370.86","","","","","","","","","","","","","371",
"39","관광펜션업","03_11_02_P","5050000","CDFI3261092010000015","2010-12-09","","03","폐업","03","폐업","2017-09-07","","","","054-744-9090","","","경상북도 경주시 보문동 531-3번지","경상북도 경주시 보문마을4길 27 (보문동)","38175","KB펜션","2017-09-08 09:16:07","I","2018-08-31 23:59:59","","403688.560766357","261468.292085399","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"40","관광펜션업","03_11_02_P","5050000","CDFI3261092010000016","2010-12-28","","03","폐업","03","폐업","2017-08-28","","","","054-777-5266","","","경상북도 경주시 하동 254-2번지","경상북도 경주시 하동분접안길 14-17 (하동)","38126","올리브하우스","2017-08-29 09:44:31","I","2018-08-31 23:59:59","","408279.667836708","258696.388605511","관광펜션업","","","3","기타","","","","","","","","","","","","","","","","","144.22","","","","","","","","","","","","","144",
"41","관광펜션업","03_11_02_P","5050000","CDFI3261092011000001","2011-01-18","","03","폐업","03","폐업","2014-12-17","","","","","","780-852","경상북도 경주시 내남면 안심리 416번지","","","하늘터밭","2014-12-18 08:52:47","I","2018-08-31 23:59:59","","393790.294864412","250671.832925319","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"42","관광펜션업","03_11_02_P","5050000","CDFI3261092011000002","2011-03-08","","03","폐업","03","폐업","2017-09-06","","","","","","","경상북도 경주시 구정동 17번지","경상북도 경주시 새골길 85-11 (구정동)","38128","오아시스","2017-09-06 17:23:44","I","2018-08-31 23:59:59","","408392.277511075","256980.76165912","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"43","관광펜션업","03_11_02_P","5050000","CDFI3261092011000003","2011-04-20","","03","폐업","03","폐업","2017-09-08","","","","742-2432","","","경상북도 경주시 외동읍 신계리 816-1번지","경상북도 경주시 외동읍 신계하신길 47-9","38210","퓨어펜션","2017-09-08 16:09:55","I","2018-08-31 23:59:59","","409835.46138166","255117.961405176","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"44","관광펜션업","03_11_02_P","5050000","CDFI3261092011000004","2011-06-09","","03","폐업","03","폐업","2015-02-25","","","","054-771-0755","","780-270","경상북도 경주시 천군동 862-14번지","","","아띠무아","2015-02-26 09:02:45","I","2018-08-31 23:59:59","","406786.938674158","259951.381956206","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000000","","","","",
"45","관광펜션업","03_11_02_P","5050000","CDFI3261092011000005","2011-08-31","","03","폐업","03","폐업","2015-03-16","","","","","","780-843","경상북도 경주시 양남면 신대리 461-1번지","","","워너비","2015-03-16 18:10:52","I","2018-08-31 23:59:59","","416956.137241819","245784.926638769","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"46","관광펜션업","03_11_02_P","5050000","CDFI3261092006000001","2006-10-17","","03","폐업","03","폐업","2017-09-06","","","","742-2207","","","경상북도 경주시 하동 502-3번지","경상북도 경주시 하동못안길 63 (하동)","38126","라끄베르펜션","2017-09-07 10:59:37","I","2018-08-31 23:59:59","","408736.092970591","258402.497825072","관광펜션업","관광사업","","3","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",
"47","관광펜션업","03_11_02_P","5050000","CDFI3261092009000001","2009-06-17","","03","폐업","03","폐업","2017-09-15","","","","774-7563","","","경상북도 경주시 내남면 노곡리 115-4번지","경상북도 경주시 내남면 백운대길 210","38198","남산자락펜션","2017-09-14 17:15:16","I","2018-08-31 23:59:59","","403121.231268946","252487.710414983","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"48","관광펜션업","03_11_02_P","5050000","CDFI3261092010000001","2010-02-23","","03","폐업","03","폐업","2017-09-14","","","","772-5959","","","경상북도 경주시 하동 193번지","경상북도 경주시 보불로 204-8 (하동)","38126","첨성대관광펜션","2017-09-14 15:44:39","I","2018-08-31 23:59:59","","409018.581433475","258361.301146671","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"49","관광펜션업","03_11_02_P","5050000","CDFI3261092010000002","2010-02-23","","03","폐업","03","폐업","2017-08-25","","","","745-0350","","","경상북도 경주시 하동 748-10번지","경상북도 경주시 하동1길 42 (하동)","38126","엉클톰스케빈 관광펜션","2017-08-28 09:03:32","I","2018-08-31 23:59:59","","408726.260707628","257458.40803056","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"50","관광펜션업","03_11_02_P","5050000","CDFI3261092010000003","2010-02-23","","03","폐업","03","폐업","2017-06-16","","","","772-7728","","","경상북도 경주시 하동 253-1번지","경상북도 경주시 하동분접안길 14-13 (하동)","38126","아델리아 관광펜션","2017-06-19 13:31:29","I","2018-08-31 23:59:59","","408319.564862675","258706.216953972","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"51","관광펜션업","03_11_02_P","5050000","CDFI3261092010000004","2010-06-07","","03","폐업","03","폐업","2017-09-08","","","","","","","경상북도 경주시 황용동 25-1번지","경상북도 경주시 추원길 232-4 (황용동)","38115","자연향기 펜션","2017-09-08 17:05:51","I","2018-08-31 23:59:59","","414018.538391522","261066.394175377","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"52","관광펜션업","03_11_02_P","5050000","CDFI3261092010000005","2010-06-07","","03","폐업","03","폐업","2017-09-08","","","","","","","경상북도 경주시 하동 654번지","경상북도 경주시 보불로 126-72 (하동)","38126","폴라리스 펜션","2017-09-08 17:14:26","I","2018-08-31 23:59:59","","409227.529595786","257502.489124555","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"53","관광펜션업","03_11_02_P","5050000","CDFI3261092010000006","2010-06-07","","03","폐업","03","폐업","2017-09-08","","","","","","","경상북도 경주시 진현동 449번지","경상북도 경주시 진티길 37-4 (진현동)","38127","노비오스 펜션","2017-09-08 16:54:05","I","2018-08-31 23:59:59","","410626.41544136","256049.393913225","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"54","관광펜션업","03_11_02_P","5050000","CDFI3261092010000007","2010-06-07","","03","폐업","03","폐업","2016-09-26","","","","","","","경상북도 경주시 하동 253번지","경상북도 경주시 하동분접안길 14-22 (하동)","38126","베네치아 펜션","2016-09-27 10:08:20","I","2018-08-31 23:59:59","","408330.941399881","258738.185932572","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"55","관광펜션업","03_11_02_P","5050000","CDFI3261092010000008","2010-06-07","","03","폐업","03","폐업","2012-01-17","","","","741-5353","","780-270","경상북도 경주시 천군동 449번지","경상북도 경주시 경감로 504-24 (천군동)","780-270","보문호수 펜션","2012-01-17 16:56:29","I","2018-08-31 23:59:59","","405776.882588418","261613.267397809","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"56","관광펜션업","03_11_02_P","5050000","CDFI3261092010000009","2010-08-10","","03","폐업","03","폐업","2017-08-02","","","","054-741-6469","","","경상북도 경주시 하동 124-3번지","경상북도 경주시 보불로 190-9 (하동)","38126","풍차펜션","2017-08-02 11:20:30","I","2018-08-31 23:59:59","","409166.001423945","258114.214547807","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"57","관광펜션업","03_11_02_P","5050000","CDFI3261092010000010","2010-10-09","","03","폐업","03","폐업","2017-09-08","","","","","","","경상북도 경주시 천군동 1444-2번지","경상북도 경주시 천군1길 22-2 (천군동)","38118","뉴월드펜션","2017-09-08 16:44:23","I","2018-08-31 23:59:59","","405670.891122078","261540.236733798","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"58","관광펜션업","03_11_02_P","5050000","CDFI3261092010000011","2010-10-09","","03","폐업","03","폐업","2017-09-08","","","","","","","경상북도 경주시 천군동 1444-6번지","경상북도 경주시 천군1길 22-1 (천군동)","38118","보문월드펜션","2017-09-08 16:41:42","I","2018-08-31 23:59:59","","405691.324719161","261528.233819743","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"59","관광펜션업","03_11_02_P","5050000","CDFI3261092010000012","2010-10-09","","03","폐업","03","폐업","2017-09-08","","","","","","","경상북도 경주시 천군동 1444-6번지","경상북도 경주시 천군1길 22-1 (천군동)","38118","보문레이크펜션","2017-09-08 16:43:17","I","2018-08-31 23:59:59","","405691.324719161","261528.233819743","관광펜션업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
